Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Costa K., Ribeiro P., Camargo A., Rossi V., Martins H., Neves M., Fabris R., Imaisumi R., Papa J.P.","54917025300;35766563700;55976353300;55975599800;16031950300;7103415216;57210666513;55975871000;23397842300;","Comparison of the techniques decision tree and MLP for data mining in SPAMs detection to computer networks",2013,"2013 3rd International Conference on Innovative Computing Technology, INTECH 2013",,, 6653725,"344","348",,1,"10.1109/INTECH.2013.6653725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891051187&doi=10.1109%2fINTECH.2013.6653725&partnerID=40&md5=10fb40c644ddcb97d96f744ea24802ed","College of Technology of São Paulo State, Bauru, Brazil; Department of Computing, UNESP, University Paulista State, Bauru, Brazil","Costa, K., College of Technology of São Paulo State, Bauru, Brazil; Ribeiro, P., College of Technology of São Paulo State, Bauru, Brazil; Camargo, A., College of Technology of São Paulo State, Bauru, Brazil; Rossi, V., College of Technology of São Paulo State, Bauru, Brazil; Martins, H., College of Technology of São Paulo State, Bauru, Brazil; Neves, M., College of Technology of São Paulo State, Bauru, Brazil; Fabris, R., College of Technology of São Paulo State, Bauru, Brazil; Imaisumi, R., College of Technology of São Paulo State, Bauru, Brazil; Papa, J.P., Department of Computing, UNESP, University Paulista State, Bauru, Brazil","Anomalies in computer networks has increased in the last decades and raised concern to create techniques to identify these unusual traffic patterns. This research aims to use data mining techniques in order to correctly identify these anomalies. Weka is a collection of machine learning algorithms for data mining tasks - was used to identify and analyse anomalies of a data set called SPAMBASE in order to improve this environment. © 2013 IEEE.","Anomalies; Artificial Neural Networks; Computer networks; Data Mining","Anomalies; Data mining tasks; Data set; Traffic pattern; Computer networks; Decision trees; Learning algorithms; Neural networks; Data mining","College of Technology of São Paulo State, Bauru, Brazil",,,,9781479900473,,,"English","Int. Conf. Innov. Comput. Technol., INTECH",Conference Paper,"Final",,Scopus,2-s2.0-84891051187
"Ferrari F., Reis M.A.M.","55980685700;19837598800;","Study of risk factors for gastric cancer by populational databases analysis",2013,"World Journal of Gastroenterology","19","48",,"9383","9391",,13,"10.3748/wjg.v19.i48.9383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891472389&doi=10.3748%2fwjg.v19.i48.9383&partnerID=40&md5=9833a9ebb7cc15ec3844df1b12c85ba3","University of the Region of Joinville- Univille, Joinville, Santa Catarina 89219-710, Brazil","Ferrari, F., University of the Region of Joinville- Univille, Joinville, Santa Catarina 89219-710, Brazil; Reis, M.A.M., University of the Region of Joinville- Univille, Joinville, Santa Catarina 89219-710, Brazil","Aim: To study the association between the incidence of gastric cancer and populational exposure to risk/protective factors through an analysis of international databases. Methods: Open-access global databases concerning the incidence of gastric cancer and its risk/protective factors were identified through an extensive search on the Web. As its distribution was neither normal nor symmetric, the cancer incidence of each country was categorized according to ranges of percentile distribution. The association of each risk/protective factor with exposure was measured between the extreme ranges of the incidence of gastric cancer (under the 25th percentile and above the 75th percentile) by the use of the Mann-Whitney test, considering a significance level of 0.05. Results: A variable amount of data omission was observed among all of the factors under study. A weak or nonexistent correlation between the incidence of gastric cancer and the study variables was shown by a visual analysis of scatterplot dispersion. In contrast, an analysis of categorized incidence revealed that the countries with the highest human development index (HDI) values had the highest rates of obesity in males and the highest consumption of alcohol, tobacco, fruits, vegetables and meat, which were associated with higher incidences of gastric cancer. There was no significant difference for the risk factors of obesity in females and fish consumption. Conclusion: Higher HDI values, coupled with a higher prevalence of male obesity and a higher per capita consumption of alcohol, tobacco, fruits, vegetables and meat, are associated with a higher incidence of gastric cancer based on an analysis of populational global data. © 2013 Baishideng Publishing Group Co., Limited. All rights reserved.","Environment; Epidemiologic factors; Gastric cancer; Public health; Risk factors","alcohol consumption; article; cancer incidence; data base; disease association; fruit; gender; geographic distribution; Helicobacter pylori; human; meat; obesity; population research; prevalence; risk factor; stomach cancer; tobacco consumption; vegetable; Environment; Epidemiologic factors; Gastric cancer; Public health; Risk factors; Alcohol Drinking; Data Mining; Databases, Factual; Diet; Female; Humans; Incidence; Life Style; Male; Obesity; Population Surveillance; Risk Factors; Sex Factors; Smoking; Stomach Neoplasms","Reis, M. A. M.; University of the Region of Joinville-Univille, Joinville, Santa Catarina 89219-710, Brazil; email: mmoura@infomedica.com.br",,,10079327,,WJGAF,"24409066","English","World J. Gastroenterol.",Article,"Final",Open Access,Scopus,2-s2.0-84891472389
"Costa R., Lima C., Sarraipa J., Jardim-Gonçalves R.","36781752300;7103053640;24342291200;6602141538;","Facilitating knowledge sharing and reuse in building and construction domain: An ontology-based approach",2013,"Journal of Intelligent Manufacturing","27","1",,"263","282",,15,"10.1007/s10845-013-0856-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027945652&doi=10.1007%2fs10845-013-0856-5&partnerID=40&md5=a8a9a662740f10cda8ff32f85a989a83","Centre of Technology and Systems, UNINOVA, Caparica, Portugal; Federal University of Western Pará UFOPA, Santarém, Brazil","Costa, R., Centre of Technology and Systems, UNINOVA, Caparica, Portugal; Lima, C., Federal University of Western Pará UFOPA, Santarém, Brazil; Sarraipa, J., Centre of Technology and Systems, UNINOVA, Caparica, Portugal; Jardim-Gonçalves, R., Centre of Technology and Systems, UNINOVA, Caparica, Portugal","This paper brings a contribution focused on collaborative engineering projects where knowledge plays a key role in the process. Collaboration is the arena, engineering projects are the target, knowledge is the currency used to provide harmony into the arena since it can potentially support innovation and, hence, a successful collaboration. The building and construction domain is challenged with significant problems for exchanging, sharing and integrating information between actors. For example, semantic gaps or lack of meaning definition at the conceptual and technical level, are problems fundamentally created through the employment of representations to map the ‘world’ into models in an endeavour to anticipate different actors’ views, vocabulary, and objectives. One of the primary research challenges addressed in this work is the process of formalization and representation of document content, where most existing approaches are limited in their capability and only take into account the explicit, word-based information in the document. The research described in this paper explores how traditional knowledge representations can be enriched by incorporation of implicit information derived from the complex relationships (the Semantic Associations) modelled by domain ontologies combined with the information presented in documents, thereby providing a baseline for facilitating knowledge interpretation and sharing between humans and machines. The paper introduces a novel conceptual framework for representation of knowledge sources, where each knowledge source is semantically represented (within its domain of use) by a Semantic Vector. This work contributes to the enrichment of Semantic Vectors, using the classical vector space model approach extended with ontological support, employing ontology concepts and their relations in the enrichment process. The test bed for the assessment of the approach is the Building and Construction industry, using an appropriateB&CdomainOntology. Preliminary results were collected using a clustering algorithm for document classification, which indicates that the proposed approach does improve the precision and recall of classifications. Future work and open issues are also discussed. © Springer Science+Business Media New York 2013.","Knowledge sharing; Ontology engineering; Semantic interoperability; Unsupervised document classification; Vector space models","Clustering algorithms; Construction; Construction industry; Data mining; Engineering research; Information management; Information retrieval systems; Knowledge management; Knowledge representation; Ontology; Semantics; Vectors; Document Classification; Knowledge-sharing; Ontology engineering; Semantic interoperability; Vector space models; Vector spaces","Costa, R.; Centre of Technology and Systems, UNINOVAPortugal; email: rddc@uninova.pt",,"Springer New York LLC",09565515,,JIMNE,,"English","J Intell Manuf",Article,"Final",,Scopus,2-s2.0-85027945652
"Araújo M., Gonçalves P., Benevenuto F.","55790757200;55922204200;8559211800;","Measuring sentiments in online social networks",2013,"WebMedia 2013 - Proceedings of the 19th Brazilian Symposium on Multimedia and the Web",,,,"97","104",,5,"10.1145/2526188.2526196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889603597&doi=10.1145%2f2526188.2526196&partnerID=40&md5=0077cea37a32f116dda379a740e34e5d","UFMG, Belo Horizonte, Brazil","Araújo, M., UFMG, Belo Horizonte, Brazil; Gonçalves, P., UFMG, Belo Horizonte, Brazil; Benevenuto, F., UFMG, Belo Horizonte, Brazil","Sentiment analysis has being used in several applications including the analysis of the repercussion of events in online social networks (OSNs), as well as to summarize public perception about products and brands on discussions on those systems. There are multiple methods to measure sentiments, varying from lexical-based approaches to machine learning methods. Despite the wide use and popularity of some those methods, it is unclear which method is better for identifying the polarity (i.e. positive or negative) of a message, as the current literature does not provide a comparison among existing methods. This comparison is crucial to allow us to understand the potential limitations, advantages, and disadvantages of popular methods in the context of OSNs messages. This work aims at filling this gap by presenting a comparison between 8 popular sentiment analysis methods. Our analysis compares these methods in terms of coverage and in terms of correct sentiment identification. We also develop a new method that combines existing approaches in order to provide the best coverage results with competitive accuracy. Finally, we present iFeel, a Web service which provides an open API for accessing and comparing results across different sentiment methods for a given text. © 2013 ACM.",,"Machine learning methods; Multiple methods; On-line social networks; Online social networks (OSNs); Open API; Public perception; Sentiment analysis; Data mining; Learning systems; Web services; Social networking (online)","UFMG, Belo Horizonte, Brazil",,,,9781450325592,,,"Portuguese","WebMedia - Proc. Braz. Symp. Multimedia Web",Conference Paper,"Final",,Scopus,2-s2.0-84889603597
"Nascimento L.C., Cruz C.B.M., Souza E.M.F.R.","57198140842;8843431000;57210985248;","Data Mining and model adaptation for the land use and land cover classification of a Worldview 2 image",2013,"Proceedings of SPIE - The International Society for Optical Engineering","8892",, 88920Z,"","",,,"10.1117/12.2028561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889036009&doi=10.1117%2f12.2028561&partnerID=40&md5=e95cd7d9c724c276599e0740dad9b293","Universidade Federal Do Rio de Janeiro - UFRJ, Geography Department, Ilha Do Fundao Campi, 21941-590 - Rio de Janeiro, RJ, Brazil","Nascimento, L.C., Universidade Federal Do Rio de Janeiro - UFRJ, Geography Department, Ilha Do Fundao Campi, 21941-590 - Rio de Janeiro, RJ, Brazil; Cruz, C.B.M., Universidade Federal Do Rio de Janeiro - UFRJ, Geography Department, Ilha Do Fundao Campi, 21941-590 - Rio de Janeiro, RJ, Brazil; Souza, E.M.F.R., Universidade Federal Do Rio de Janeiro - UFRJ, Geography Department, Ilha Do Fundao Campi, 21941-590 - Rio de Janeiro, RJ, Brazil","Forest fragmentation studies have increased since the last 3 decades. Land use and land cover maps (LULC) are important tools for this analysis, as well as other remote sensing techniques. The object oriented analysis classifies the image according to patterns as texture, color, shape, and context. However, there are many attributes to be analyzed, and data mining tools helped us to learn about them and to choose the best ones. In this way, the aim of this paper is to describe data mining techniques and results of a heterogeneous area, as the municipality of Silva Jardim, Rio de Janeiro, Brazil. The municipality has forest, urban areas, pastures, water bodies, agriculture and also some shadows as objects to be represented. Worldview 2 satellite image from 2010 was used and LULC classification was processed using the values that data mining software has provided according to the J48 method. Afterwards, this classification was analyzed, and the verification was made by the confusion matrix, being possible to evaluate the accuracy (58,89%). The best results were in classes water and forest which have more homogenous reflectance. Because of that, the model has been adapted, in order to create a model for the most homogeneous classes. As result, 2 new classes were created, some values and some attributes changed, and others added. In the end, the accuracy was 89,33%. It is important to highlight this is not a conclusive paper; there are still many steps to develop in highly heterogeneous surfaces. © 2013 SPIE.","data mining; land use and land cover classification; model adaptation; object oriented analysis","Data-mining software; Forest fragmentations; Heterogeneous surface; Land use and land cover; Land-use and land cover classifications; Model Adaptation; Object-oriented analysis; Remote sensing techniques; Forestry; Land use; Object oriented programming; Remote sensing; Signal processing; Tools; Data mining; Computer Programing; Data Processing; Forestry; Land Use; Remote Sensing; Signals","Universidade Federal Do Rio de Janeiro - UFRJ, Geography Department, Ilha Do Fundao Campi, 21941-590 - Rio de Janeiro, RJ, Brazil",,,0277786X,9780819497611,PSISD,,"English","Proc SPIE Int Soc Opt Eng",Conference Paper,"Final",,Scopus,2-s2.0-84889036009
"Cazzolato M.T., Ribeiro M.X.","55931424400;56187637300;","A statistical decision tree algorithm for medical data stream mining",2013,"Proceedings of CBMS 2013 - 26th IEEE International Symposium on Computer-Based Medical Systems",,, 6627823,"389","392",,7,"10.1109/CBMS.2013.6627823","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889038450&doi=10.1109%2fCBMS.2013.6627823&partnerID=40&md5=8ad58a433ae6f0d002a71ed2ae24047f","Federal University of São Carlos, Computer Science Department, Brazil","Cazzolato, M.T., Federal University of São Carlos, Computer Science Department, Brazil; Ribeiro, M.X., Federal University of São Carlos, Computer Science Department, Brazil","The use of computational resources can improve the diagnosis of medical diseases as a second opinion. Due to the large amount of data obtained daily, incremental techniques have been proposed to process medical data stream. In this paper we present an incremental decision tree classifier called StARMiner Tree (ST), which is based on Very Fast Decision Tree (VFDT) technique, to mine medical data. Different from VFDT, our proposed method ST does not depend on the number of reading samples to split a node. Because of it, ST is less conservative and describes the data since their first samples, being appropriate to be employed in medical environment, where not always a large number of data samples are available. We applied ST to four medical datasets, comparing the ST performance to the VFDT. The results indicated that ST is well-suited to deal with medical data streams, presenting high accuracy and low execution time. © 2013 IEEE.",,"Computational resources; Decision tree classifiers; Incremental techniques; Medical data sets; Number of datum; Second opinions; Statistical decision tree; Very fast decision trees; Data communication systems; Data mining; Decision trees; Trees (mathematics); Diagnosis","Federal University of São Carlos, Computer Science DepartmentBrazil",,,,9781479910533,,,"English","Proc. CBMS - IEEE Int. Symp. Comput.-Based Med. Syst.",Conference Paper,"Final",,Scopus,2-s2.0-84889038450
"Silva M.D.A., Trevisan D.Q., Prata D.N., Marques E.E., Lisboa M., Prata M.","56016779600;56017854500;55029633200;16679524500;56016762000;56018167100;","Exploring an ichthyoplankton database from a freshwater reservoir in legal Amazon",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8347 LNAI","PART 2",,"384","395",,1,"10.1007/978-3-642-53917-6_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893048428&doi=10.1007%2f978-3-642-53917-6_34&partnerID=40&md5=349f69c7ad6b03433685c827ff3bf0e6","Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil","Silva, M.D.A., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil; Trevisan, D.Q., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil; Prata, D.N., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil; Marques, E.E., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil; Lisboa, M., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil; Prata, M., Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil","The purpose of this study is to use data mining techniques for the exploratory analysis of a database of ichthyoplankton samples from a freshwater reservoir in Legal Amazon. This database has already been analyzed using statistical techniques, but these did not find a relationship between biotic and abiotic factors. The application of the Apriori algorithm allows us to generate association rules that yield an understanding of the process of fish spawning in Tocantins River. In this case, we demonstrate the effective use of data mining for the discovery of patterns and processes in ecological systems, and suggest that statistical methods often used by ecologists can be coupled with data mining techniques to generate hypotheses. © 2013 Springer-Verlag.","Apriori; data mining; database; ichthyoplankton","Abiotic factors; Apriori; Apriori algorithms; Ecological systems; Exploratory analysis; Freshwater reservoirs; Ichthyoplankton; Statistical techniques; Database systems; Ecology; Water; Data mining","Postgraduate Program in Computational Modeling Systems, Federal University of Tocantins (UFT), Palmas - TO, Brazil",,,03029743,9783642539169,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-84893048428
"Rakthanmanon T., Campana B., Mueen A., Batista G., Westover B., Zhu Q., Zakaria J., Keogh E.","6507628421;36665852500;35243537000;55062789000;55384180400;35114386900;55354823800;7006166198;","Data mining a trillion time series subsequences under dynamic time warping",2013,"IJCAI International Joint Conference on Artificial Intelligence",,,,"3047","3051",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896061047&partnerID=40&md5=2746e7e9c623bcb6f4d666991b4630a7","UC Riverside, United States; Kasetsart University, Thailand; University of São Paulo, Brazil; Brigham and Women's Hospital, United Kingdom","Rakthanmanon, T., Kasetsart University, Thailand; Campana, B., UC Riverside, United States; Mueen, A., UC Riverside, United States; Batista, G., University of São Paulo, Brazil; Westover, B., Brigham and Women's Hospital, United Kingdom; Zhu, Q., UC Riverside, United States; Zakaria, J., UC Riverside, United States; Keogh, E., UC Riverside, United States","Most time series data mining algorithms use similarity search as a core subroutine, and thus the time taken for similarity search is the bottleneck for virtually all time series data mining algorithms. The difficulty of scaling search to large datasets largely explains why most academic work on time series data mining has plateaued at considering a few millions of time series objects, while much of industry and science sits on billions of time series objects waiting to be explored. In this work we show that by using a combination of four novel ideas we can search and mine truly massive time series for the first time. We demonstrate the following extremely unintuitive fact; in large datasets we can exactly search under DTW much more quickly than the current state-of-the-art Euclidean distance search algorithms. We demonstrate our work on the largest set of time series experiments ever attempted. We show that our ideas allow us to solve higher-level time series data mining problems at scales that would otherwise be untenable.",,"Dynamic time warping; Euclidean distance; Large datasets; Search Algorithms; Similarity search; Time series data mining; Time series subsequences; Time-series experiments; Algorithms; Artificial intelligence; Time series; Time series analysis; Data mining","UC RiversideUnited States",,,10450823,9781577356332,,,"English","IJCAI Int. Joint Conf. Artif. Intell.",Conference Paper,"Final",,Scopus,2-s2.0-84896061047
"Garcia M.C.M., Martins E.T., Azevedo F.M.","56040105100;25029414800;7004571880;","Decision tree induction to prediction of prognosis in severe traumatic brain injury of Brazilian patients from Florianopolis City",2013,"13th IEEE International Conference on BioInformatics and BioEngineering, IEEE BIBE 2013",,, 6701601,"","",,4,"10.1109/BIBE.2013.6701601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894145027&doi=10.1109%2fBIBE.2013.6701601&partnerID=40&md5=133d2379f4f312fdcc7d32a6f8d3f253","Institute of Biomedical Engineering, Electrical Engineering Department, Federal University of Santa Catarina, Florianopolis, SC, Brazil; Computer Science Course, Unit of Sciences, Engineering and Technologies, Extreme South University of Santa Catarina, Criciuma, SC, Brazil; Intensive Care Unit, Governador Celso Ramos Hospital, Florianopolis, SC, Brazil","Garcia, M.C.M., Institute of Biomedical Engineering, Electrical Engineering Department, Federal University of Santa Catarina, Florianopolis, SC, Brazil, Computer Science Course, Unit of Sciences, Engineering and Technologies, Extreme South University of Santa Catarina, Criciuma, SC, Brazil; Martins, E.T., Intensive Care Unit, Governador Celso Ramos Hospital, Florianopolis, SC, Brazil; Azevedo, F.M., Institute of Biomedical Engineering, Electrical Engineering Department, Federal University of Santa Catarina, Florianopolis, SC, Brazil","The data mining consists in identification of characteristics and relationships between data, aiming the transformation of these into useful knowledge. The obtainment of knowledge occurs trough tasks, methods and algorithms that have specific purposes, and that are applied according to the goals of analysis. The analysis showed in this article consists in application of data mining by task of classification by the method of decision tree induction by the C4.5 algorithm for the prediction of prognosis in severe traumatic brain injury. The traumatic brain injury is a public health problem, constituting in one of the main causes of morbidity and mortality. In the development were performed the steps of preprocessing, the application of data mining and the evaluation of generated model, obtaining the accuracy of 87%. © 2013 IEEE.",,,"Garcia, M.C.M.; Institute of Biomedical Engineering, Electrical Engineering Department, Federal University of Santa Catarina, Florianopolis, SC, Brazil; email: merimattos@gmail.com",,,,9781479931637,,,"English","IEEE Int. Conf. BioInformatics BioEng., IEEE BIBE",Conference Paper,"Final",,Scopus,2-s2.0-84894145027
"Dos Reis E.A., Brito L.S.","56155714100;56155476000;","Usage control of programs and application libraries in z/OS environment in the big data age",2013,"Proceedings - 16th IEEE International Conference on Computational Science and Engineering, CSE 2013",,, 6755348,"1140","1141",,,"10.1109/CSE.2013.167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900359255&doi=10.1109%2fCSE.2013.167&partnerID=40&md5=b653ce13b7041471659c8f15d7db4695","Information Science Universidade Estadual Paulista - UNESP, Marília, São Paulo, Brazil; Mainframe Specialist Capgemini - Consulting Technology Outsourcing, Brasilia, FD, Brazil","Dos Reis, E.A., Information Science Universidade Estadual Paulista - UNESP, Marília, São Paulo, Brazil; Brito, L.S., Mainframe Specialist Capgemini - Consulting Technology Outsourcing, Brasilia, FD, Brazil","The great volume of information is currently a reality. Processing these data, mainly in institutions with a great capacity of processing, is carried out by means of mainframes that are capable of performing operations at a great speed and on an extremely large volume of data in the Big Data age. Indirect methods of gauging the usage of software installed in the mainframe environment are used to measure the usage of products, making it difficult to obtain information to renew these products. This paper presents the z/Audit product, which offers information on the actual usage of the programs installed in the mainframe environment. The product features data extration for mining (data mining) and for presentation (analytics) of this information with open-source products. © 2013 IEEE.","Data Mining; Information Analysis; Z/OS Environment","Big datum; Indirect methods; Large volumes; Open-source; Product feature; Usage control; Z/OS Environment; Application programs; Data handling; Information analysis; Data mining","Information Science Universidade Estadual Paulista - UNESP, Marília, São Paulo, Brazil",,,,,,,"English","Proc. - IEEE Int. Conf. Comput. Sci. Eng., CSE",Conference Paper,"Final",,Scopus,2-s2.0-84900359255
