Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Cordeiro A.F.S., Baracho M.S., Nääs I.A., Nascimento G.R.","55321584100;6506322220;57211115618;54080242500;","Using data mining to identify factors that influence the degree of leg injuries in broilers",2012,"Engenharia Agricola","32","4",,"642","649",,3,"10.1590/S0100-69162012000400003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871603447&doi=10.1590%2fS0100-69162012000400003&partnerID=40&md5=2313fa80872ae6801eedd99782d02223","Zootecnista, Doutoranda em Engenharia Agrícola, FEAGRI, UNICAMP, Campinas, SP, Brazil; Bióloga, Feagri-Unicamp, Campinas, SP, Brazil; Feagri, Unicamp, Campinas, SP, Brazil; Doutorando em Zootecnia, UEM, Maringá-PR, Brazil","Cordeiro, A.F.S., Zootecnista, Doutoranda em Engenharia Agrícola, FEAGRI, UNICAMP, Campinas, SP, Brazil; Baracho, M.S., Bióloga, Feagri-Unicamp, Campinas, SP, Brazil; Nääs, I.A., Feagri, Unicamp, Campinas, SP, Brazil; Nascimento, G.R., Doutorando em Zootecnia, UEM, Maringá-PR, Brazil","Locomotor problems prevent the bird to move freely, jeopardizing the welfare and productivity, besides generating injuries on the legs of chickens. The objective of this study was to evaluate the influence of age, use of vitamin D, the asymmetry of limbs and gait score, the degree of leg injuries in broilers, using data mining. The analysis was performed on a data set obtained from a field experiment in which it was used two groups of birds with 30 birds each, a control group and one treated with vitamin D. It was evaluated the gait score, the asymmetry between the right and left toes, and the degree of leg injuries. The Weka ® software was used in data mining. In particular, C4.5 algorithm (also known as J48 in Weka environment) was used for the generation of a decision tree. The results showed that age is the factor that most influences the degree of leg injuries and that the data from assessments of gait score were not reliable to estimate leg weakness in broilers.","Decision tree; Gait score; Poultry","Aves; Gallirallus australis; Gallus gallus","Cordeiro, A.F.S.; Zootecnista, Doutoranda em Engenharia Agrícola, FEAGRI, UNICAMP, Campinas, SP, Brazil",,,01006916,,,,"English","Eng. Agric.",Article,"Final",Open Access,Scopus,2-s2.0-84871603447
"Da Cunha D.S., De Castro L.N.","55537644100;56912991300;","Evolutionary and immune algorithms applied to association rule mining",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7677 LNCS",,,"628","635",,2,"10.1007/978-3-642-35380-2_73","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871593005&doi=10.1007%2f978-3-642-35380-2_73&partnerID=40&md5=5352bbb2a13d3b334759a60beb94bada","Mackenzie Presbyterian University, Natural Computing Laboratory (LCoN), R. Piauí, 130, Consolação, São Paulo, Brazil","Da Cunha, D.S., Mackenzie Presbyterian University, Natural Computing Laboratory (LCoN), R. Piauí, 130, Consolação, São Paulo, Brazil; De Castro, L.N., Mackenzie Presbyterian University, Natural Computing Laboratory (LCoN), R. Piauí, 130, Consolação, São Paulo, Brazil","Association rule mining is one of the most important data mining tasks. It corresponds to the determination of rules that associate items to other items in a data set, where the items are attributes in transactional databases. Although evolutionary algorithms have been used in this task for some time, there are few applications of immune algorithms to such problem. This paper presents one typical genetic algorithm plus two clonal selection algorithms applied to association rule mining under the perspective of several measures of interest. © 2012 Springer-Verlag.","Artificial Immune Systems; Association Rule Mining; Data Mining; Evolutionary Algorithms","Artificial Immune System; Clonal selection algorithms; Data mining tasks; Data sets; Immune algorithms; Transactional database; Data mining; Evolutionary algorithms","Da Cunha, D.S.; Mackenzie Presbyterian University, Natural Computing Laboratory (LCoN), R. Piauí, 130, Consolação, São Paulo, Brazil; email: danilocunha85@gmail.com",,,03029743,9783642353796,,,"English","Lect. Notes Comput. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-84871593005
"Saboia-Vahia L., Borges-Veloso A., Cuervo P., Junqueira M., Mesquita-Rodrigues C., Britto C., Domont G.B., De Jesus J.B.","12242119400;26530826800;16743754700;22953794200;24734316800;6603794136;6602684251;7004066980;","Protein expression in the midgut of sugar-fed Aedes albopictus females",2012,"Parasites and Vectors","5","1", 290,"","",,9,"10.1186/1756-3305-5-290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870712957&doi=10.1186%2f1756-3305-5-290&partnerID=40&md5=a1c628983b16e128acb7603dfe34c102","Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Laboratório de Pesquisa em Leishmaniose, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Unidade de Proteômica, Laboratório de Química de Proteínas, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, Brazil; Departamento de Engenharia de Biossistemas, Universidade Federal de São João Del Rey, Minas Gerais, Brazil; Laboratório de Bioquímica e Química Proteínas, Departamento de Biologia Celular, Universidade de Brasília, Brasília, Brazil","Saboia-Vahia, L., Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Borges-Veloso, A., Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Cuervo, P., Laboratório de Pesquisa em Leishmaniose, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Junqueira, M., Laboratório de Bioquímica e Química Proteínas, Departamento de Biologia Celular, Universidade de Brasília, Brasília, Brazil; Mesquita-Rodrigues, C., Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Britto, C., Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil; Domont, G.B., Unidade de Proteômica, Laboratório de Química de Proteínas, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, Brazil; De Jesus, J.B., Laboratório de Biologia Molecular e Doenças Endêmicas, Instituto Oswaldo Cruz, FIOCRUZ, Rio de Janeiro, Brazil, Departamento de Engenharia de Biossistemas, Universidade Federal de São João Del Rey, Minas Gerais, Brazil","Background: Aedes albopictus is a vector for several fatal arboviruses in tropical and sub-tropical regions of the world. The midgut of the mosquito is the first barrier that pathogens must overcome to establish infection and represents one of the main immunologically active sites of the insect. Nevertheless, little is known about the proteins involved in the defense against pathogens, and even in the processing of food, and the detoxification of metabolites. The identification of proteins exclusively expressed in the midgut is the first step in understanding the complex physiology of this tissue and can provide insight into the mechanisms of pathogen-vector interaction. However, identification of the locally expressed proteins presents a challenge because the Ae. albopictus genome has not been sequenced. Methods. In this study, two-dimensional electrophoresis (2DE) was combined with liquid chromatography in line with tandem mass spectrometry (LC-MS/MS) and data mining to identify the major proteins in the midgut of sugar-fed Ae. albopictus females. Results: Fifty-six proteins were identified by sequence similarity to entries from the Ae. aegypti genome. In addition, two hypothetical proteins were experimentally confirmed. According to the gene ontology analysis, the identified proteins were classified into 16 clusters of biological processes. Use of the STRING database to investigate protein functional associations revealed five functional networks among the identified proteins, including a network for carbohydrate and amino acid metabolism, a group associated with ATP production and a network of proteins that interact during detoxification of toxic free radicals, among others. This analysis allowed the assignment of a potential role for proteins with unknown function based on their functional association with other characterized proteins. Conclusion: Our findings represent the first proteome map of the Ae. albopictus midgut and denotes the first steps towards the description of a comprehensive proteome map of this vector. In addition, the data contributes to the functional annotation of Aedes spp. genomes using mass spectrometry-based proteomics data combined with complementary gene prediction methods. © 2012 Saboia-Vahia et al.; licensee BioMed Central Ltd.","Aedes albopictus; Culicidae; Mass spectrometry; Midgut; Proteome; Proteomics; Two-dimensional electrophoresis","Aedes aegypti; Aedes albopictus; amino acid metabolism; amino acid sequence; article; carbohydrate metabolism; female; liquid chromatography; midgut; nonhuman; protein analysis; protein expression; tandem mass spectrometry; two dimensional electrophoresis; Aedes; Animals; Carbohydrates; Chromatography, Liquid; Computational Biology; Diet; Electrophoresis, Gel, Two-Dimensional; Female; Gastrointestinal Tract; Insect Proteins; Proteome; Tandem Mass Spectrometry; Aedes albopictus; Arbovirus; Culicidae; Hexapoda","Domont, G.B.; Unidade de Proteômica, Laboratório de Química de Proteínas, Universidade Federal Do Rio de Janeiro, Rio de Janeiro, Brazil; email: gilberto@iq.ufrj.br",,,17563305,,,"23232105","English","Parasites Vectors",Article,"Final",Open Access,Scopus,2-s2.0-84870712957
"Silva D.G., Nadalin E.Z., Attux R., Montalvão J.","55341785800;24767204600;35546900100;24734333300;","A modified version of the MEXICO algorithm for performing ICA over Galois fields",2012,"IEEE International Workshop on Machine Learning for Signal Processing, MLSP",,, 6349741,"","",,3,"10.1109/MLSP.2012.6349741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870677550&doi=10.1109%2fMLSP.2012.6349741&partnerID=40&md5=6608b3a80a13f95b4771c429fc2099ca","School of Electrical and Computer Engineering, University of Campinas - Unicamp, Campinas, SP, Brazil; Department of Electrical Engineering, Federal University of Sergipe, São Cristóvão, SE, Brazil","Silva, D.G., School of Electrical and Computer Engineering, University of Campinas - Unicamp, Campinas, SP, Brazil; Nadalin, E.Z., School of Electrical and Computer Engineering, University of Campinas - Unicamp, Campinas, SP, Brazil; Attux, R., School of Electrical and Computer Engineering, University of Campinas - Unicamp, Campinas, SP, Brazil; Montalvão, J., Department of Electrical Engineering, Federal University of Sergipe, São Cristóvão, SE, Brazil","The theory of ICA over finite fields, established in the last five years, gave rise to a corpus of different separation strategies, which includes an algorithm based on the pairwise comparison of mixtures, called MEXICO. In this work, we propose an alternative version of the MEXICO algorithm, with modifications that as shown by the results obtained for a number of representative scenarios lead to performance improvements in terms of the computational effort required to reach a certain performance level, especially for an elevated number of sources. This parsimony can be relevant to enhance the applicability of the new ICA theory to data mining in the context of large discrete-valued databases. © 2012 IEEE.","finite fields; ICA; Information Theory; MEXICO","Computational effort; Finite fields; Galois fields; Me-xico; Pair-wise comparison; Performance improvements; Performance level; Independent component analysis; Information theory; Learning systems; Signal processing; Algorithms","Silva, D.G.; School of Electrical and Computer Engineering, University of Campinas - Unicamp, Campinas, SP, Brazil",,,21610363,9781467310260,,,"English","IEEE Int. Workshop Mach. Learn. Signal Process., MLSP",Conference Paper,"Final",,Scopus,2-s2.0-84870677550
"Vivaldi A., De Moraes C.H.V., De Almeida Costa C.I., Lambert-Torres G.","54783618300;22834121200;25723127500;7003772222;","Smart alarm and event processing",2012,"IEEE Power and Energy Society General Meeting",,, 6345170,"","",,2,"10.1109/PESGM.2012.6345170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870592289&doi=10.1109%2fPESGM.2012.6345170&partnerID=40&md5=81c2238fbde2728f3c10625ed70cf262","EDP, ESCELSA Espirito Santo Power Company, Vitoria, ES, Brazil; Itajuba Federal University, Itajuba, MG 37500-903, Brazil; FUPAI Research Foundation, Itajuba, MG 37501-042, Brazil","Vivaldi, A., EDP, ESCELSA Espirito Santo Power Company, Vitoria, ES, Brazil; De Moraes, C.H.V., Itajuba Federal University, Itajuba, MG 37500-903, Brazil; De Almeida Costa, C.I., FUPAI Research Foundation, Itajuba, MG 37501-042, Brazil; Lambert-Torres, G., FUPAI Research Foundation, Itajuba, MG 37501-042, Brazil","Smart alarm and event processing is a tool to aid decision-making for the operators during the electric system monitoring in real time. The main function of this processing is elimination of secondary and unnecessary information while important data are highlighted to the operator during any failure or malfunction monitored in the electrical system. This processing is composed of four main parts: a rule-editor, an event-classifier, a rule-extractor and a rule-assembling. The two main parts composes a program named FASE, which runs in the control centers. The two last parts composes the program named EASE which produces rules for FASE. Currently the EDP-ESCELSA Power Distribution Company uses for monitoring of your electrical system the platform, named SCATEX, developed by EDP Group in partnership with the EFACEC Group. The SCATEX is a SCADA system, integrating supervision and control of electrical systems. This paper presents de the development of the four main parts of the program, with some practical examples from the ESCELSA database. © 2012 IEEE.","Alarm processing; data analysis; data mining; granular computation; intelligent systems; power system operation","Alarm processing; Control center; Electric systems; Electrical systems; Granular computation; Power distribution company; Power system operations; Real time; Alarm systems; Data handling; Data mining; Data reduction; Intelligent systems; SCADA systems; Monitoring","Vivaldi, A.; EDP, ESCELSA Espirito Santo Power Company, Vitoria, ES, Brazil; email: avivaldi@enbr.com.br",,,19449925,9781467327275,,,"English","IEEE Power Energy Soc. Gen. Meet.",Conference Paper,"Final",,Scopus,2-s2.0-84870592289
"Maia A.P.A., Medeiros B.B.L., Vercellino R.A., Sarubbi J., Oliveira S.R.M., Griska P.R., Moura D.J.","36124917900;50061499900;36998201300;36657740600;7102961338;37074655700;22133963900;","Data mining applied to horse thermal comfort",2012,"ASABE - 9th International Livestock Environment Symposium 2012, ILES 2012",,,,"422","428",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878315018&partnerID=40&md5=94901cc9fde30680ee568fec522796a5","State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP), Brazil; Federal University of Santa Maria, Animal Science Department (CESNORS/UFSM), Brazil; EMBRAPA Informática Agropecúaria, Brazil; Faculdade de Jaguariúna, Brazil","Maia, A.P.A., State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP), Brazil; Medeiros, B.B.L., State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP), Brazil; Vercellino, R.A., State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP), Brazil; Sarubbi, J., Federal University of Santa Maria, Animal Science Department (CESNORS/UFSM), Brazil; Oliveira, S.R.M., EMBRAPA Informática Agropecúaria, Brazil; Griska, P.R., Faculdade de Jaguariúna, Brazil; Moura, D.J., State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP), Brazil","Thermal comfort plays a critical role in body temperature regulation. Heat-regulation mechanisms, such as changes in peripheral blood flow, are activated by thermal stress to maintain body homeostasis and it can results in a fluctuation of skin temperature. Although thermal comfort of horse has been studied, its relation with surface temperature is rarely seen in the literature. Therefore, the aim of this study was to verify the potential of data mining techniques in knowledge discovery by associating surface temperature with thermal comfort of horses. The decision tree model presented 74.0% of accuracy and all attributes of dataset were considered relevant for the classification problem. The results revealed the potential of data mining techniques to equine thermal comfort classification problems.","Balancing techniques; Decision tree; Physiological parameters; Surface temperature; Thermography","Balancing techniques; Body temperature regulation; Decision tree models; Peripheral blood; Physiological parameters; Skin temperatures; Surface temperatures; Agriculture; Atmospheric temperature; Classification (of information); Decision trees; Physiological models; Surface properties; Thermal comfort; Thermography (temperature measurement); Data mining","State University of Campinas, Agricultural Engineering College (FEAGRI/UNICAMP)Brazil",,,,9781622769278,,,"English","ASABE - Int. Livest. Environ. Symp., ILES",Conference Paper,"Final",,Scopus,2-s2.0-84878315018
"Valêncio C.R., Oyama F.T., Scarpelini Neto P., Colombini A.C., Cansian A.M., de Souza R.C.G., Corrêa P.L.P.","6506456645;54957324300;55783409000;56385377100;6507544288;37052041900;16308727500;","MR-Radix: a multi-relational data mining algorithm",2012,"Human-centric Computing and Information Sciences","2","1", 4,"1","17",,15,"10.1186/2192-1962-2-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881220873&doi=10.1186%2f2192-1962-2-4&partnerID=40&md5=069020de6de2f3476a2235b68d1d876b","São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; Federal University of São Carlos - UFSCar, Rodovia Washington Luís, Km 235, São Carlos, SP  Caixa Postal 676, Brazil; University of São Paulo - USP, Avenida Prof. Luciano Gualberto, 380, travessa 3, São Paulo, São Paulo, Brazil","Valêncio, C.R., São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; Oyama, F.T., São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; Scarpelini Neto, P., São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; Colombini, A.C., Federal University of São Carlos - UFSCar, Rodovia Washington Luís, Km 235, São Carlos, SP  Caixa Postal 676, Brazil; Cansian, A.M., São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; de Souza, R.C.G., São Paulo State University - Unesp, Rua Cristóvão Colombo, São José do Rio Preto, São Paulo  2265, Brazil; Corrêa, P.L.P., University of São Paulo - USP, Avenida Prof. Luciano Gualberto, 380, travessa 3, São Paulo, São Paulo, Brazil","Background: Once multi-relational approach has emerged as an alternative for analyzing structured data such as relational databases, since they allow applying data mining in multiple tables directly, thus avoiding expensive joining operations and semantic losses, this work proposes an algorithm with multi-relational approach. Methods: Aiming to compare traditional approach performance and multi-relational for mining association rules, this paper discusses an empirical study between PatriciaMine - an traditional algorithm - and its corresponding multi-relational proposed, MR-Radix. Results: This work showed advantages of the multi-relational approach in performance over several tables, which avoids the high cost for joining operations from multiple tables and semantic losses. The performance provided by the algorithm MR-Radix shows faster than PatriciaMine, despite handling complex multi-relational patterns. The utilized memory indicates a more conservative growth curve for MR-Radix than PatriciaMine, which shows the increase in demand of frequent items in MR-Radix does not result in a significant growth of utilized memory like in PatriciaMine. Conclusion: The comparative study between PatriciaMine and MR-Radix confirmed efficacy of the multi-relational approach in data mining process both in terms of execution time and in relation to memory usage. Besides that, the multi-relational proposed algorithm, unlike other algorithms of this approach, is efficient for use in large relational databases. © 2012, Valêncio et al; licensee Springer.","Association rules; Mining frequent itemsets; MR-Radix; Multi-relational data mining; Relational databases","Association rules; Joining; Semantics; Comparative studies; Data mining process; Mining associations; Mining frequent itemsets; MR-Radix; Multirelational data mining; Relational Database; Traditional approaches; Data mining","Valêncio, C.R.; São Paulo State University - Unesp, Rua Cristóvão Colombo, Brazil; email: valencio@ibilce.unesp.br",,"Springer Berlin Heidelberg",21921962,,,,"English","Hum.-centric Comput. Inf. Sci.",Article,"Final",Open Access,Scopus,2-s2.0-84881220873
"De Oliveira M.G., De Souza Baptista C.","55510916100;6507173467;","GeoSTAT - A system for visualization, analysis and clustering of distributed spatiotemporal data",2012,"Proceedings of the  Brazilian Symposium on GeoInformatics",,,,"108","119",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882954423&partnerID=40&md5=cad46559681773f4010d979576871dc7","Laboratory of Information Systems, Computer Science Department, Federal University of Campina Grande (UFCG), Av. Aprígio Veloso 882, Bairro Universitário, 58.429-140 Campina Grande - PB, Brazil","De Oliveira, M.G., Laboratory of Information Systems, Computer Science Department, Federal University of Campina Grande (UFCG), Av. Aprígio Veloso 882, Bairro Universitário, 58.429-140 Campina Grande - PB, Brazil; De Souza Baptista, C., Laboratory of Information Systems, Computer Science Department, Federal University of Campina Grande (UFCG), Av. Aprígio Veloso 882, Bairro Universitário, 58.429-140 Campina Grande - PB, Brazil","Nowadays, there is a considerable amount of spatiotemporal data available on the web. The visualization of these data requires several visual resources which helps users to have a correct interpretation of the data set. Furthermore, the use of data mining algorithms has proven relevant in helping the exploratory analysis of spatiotemporal data. This paper proposes the GeoSTAT (GEOgraphic SpatioTemporal Analysis Tool), a system that includes spatial and temporal visualization techniques and offers a spatiotemporal adaptation of clustering algorithms provided by the Weka data mining toolkit. A case study was realized to demonstrate the end-user experience and some advantages achieved using the proposed system.",,"Data mining algorithm; Data set; End-user experience; Exploratory analysis; Spatio-temporal data; Spatiotemporal analysis; Temporal visualization techniques; Clustering algorithms; Data mining; Visualization; Data visualization","Laboratory of Information Systems, Computer Science Department, Federal University of Campina Grande (UFCG), Av. Aprígio Veloso 882, Bairro Universitário, 58.429-140 Campina Grande - PB, Brazil",,,21794847,,,,"English","Proc. Brazilian Symp. GeoInformatics",Conference Paper,"Final",,Scopus,2-s2.0-84882954423
"de Campos L.M.L., de Oliveira R.C.L., Roisenberg M.","7003634721;55351827500;6506279924;","Network Intrusion Detection System Using Data Mining",2012,"Communications in Computer and Information Science","311",,,"104","113",,7,"10.1007/978-3-642-32909-8_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880592449&doi=10.1007%2f978-3-642-32909-8_11&partnerID=40&md5=adfde39dd2675999538476773fa5cc38","Universidade Federal do Pará - UFPA, Av. dos Universitários s/n - Jaderlandia, Castanhal, PA, Cep: 68746-360, Brazil","de Campos, L.M.L., Universidade Federal do Pará - UFPA, Av. dos Universitários s/n - Jaderlandia, Castanhal, PA, Cep: 68746-360, Brazil; de Oliveira, R.C.L., Universidade Federal do Pará - UFPA, Av. dos Universitários s/n - Jaderlandia, Castanhal, PA, Cep: 68746-360, Brazil; Roisenberg, M., Universidade Federal do Pará - UFPA, Av. dos Universitários s/n - Jaderlandia, Castanhal, PA, Cep: 68746-360, Brazil","The aim of this study is to simulate a network traffic analyzer that is part of an Intrusion Detection System - IDS, the main focus of research is data mining and for this type of application the steps that precede the data mining: data preparation (possibly involving cleaning data, data transformations, selecting subsets of records, data normalization) are considered fundamental for a good performance of the classifiers during the data mining stage. In this context, this paper discusses and presents as a contribution not only the classifiers that were used in the problem of intrusion detection, but also the initial stage of data preparation. Therefore, we tested the performance of three classifiers on the KDDCUP'99 benchmark intrusion detection dataset and selected the best classifiers. We initially tested a Decision Tree and a Neural Network using this dataset, suggesting improvements by reducing the number of attributes from 42 to 27 considering only two classes of detection, normal and intrusion. Finally, we tested the Decision Tree and Bayesian Network classifiers considering five classes of attack: Normal, DOS, U2R, R2L and Probing. The experimental results proved that the algorithms used achieved high detection rates (DR) and significant reduction of false positives (FP) for different types of network intrusions using limited computational resources. © Springer-Verlag Berlin Heidelberg 2012.","Bayesian Network; Datamining; Decision Tree; Network Intrusion Detection System; Neural Network","Bayesian network classifiers; Computational resources; Data transformation; Focus of researches; High detection rate; Intrusion Detection Systems; Network intrusion detection systems; Network Traffic analyzers; Bayesian networks; Benchmarking; Computer crime; Data mining; Decision trees; Neural networks; Intrusion detection","Universidade Federal do Pará - UFPA, Av. dos Universitários s/n - Jaderlandia, Castanhal, PA, Cep: 68746-360, Brazil","Yue S.Iliadis L.",,18650929,9783642329081,,,"English","Commun. Comput. Info. Sci.",Conference Paper,"Final",,Scopus,2-s2.0-84880592449
"Assmann C.L., Frozza R., Kipper L.M.","55926440100;37028233000;12143252800;","Selection of attributes for use in data mining as support to decision-making in the information technology area",2012,"Proceedings of the IADIS International Conference Intelligent Systems and Agents 2012, ISA 2012, IADIS European Conference on Data Mining 2012, ECDM 2012",,,,"215","218",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887445739&partnerID=40&md5=f967253efb0029da2f1bf81f8711ba85","BIPSS Scholarship Program, Institutional Grants for Postgraduate Programs, University of Santa Cruz do Sul, RS, Brazil; Master in Industrial Systems and Processes, University of Santa Cruz do Sul - UNISC, Brazil","Assmann, C.L., BIPSS Scholarship Program, Institutional Grants for Postgraduate Programs, University of Santa Cruz do Sul, RS, Brazil; Frozza, R., Master in Industrial Systems and Processes, University of Santa Cruz do Sul - UNISC, Brazil; Kipper, L.M., Master in Industrial Systems and Processes, University of Santa Cruz do Sul - UNISC, Brazil","The aim of this paper is to visualize the organ izations from a knowledge pers pective as a resource that might bring competitive advantage. Changes occur very fast, especially in the area of Information Technology, which is the focus of this case study. It is rather complex to keep pace with these constant market changes. To this end, actions need to be taken and, sometimes, there is not enough knowledge to support the decision-making process. Within this context, there is no doubt about the analysis of data accumulated over the years of activities in the org anizations and handle a great volume of information has turned into a bur densome activity without specific tool. It is in this scenario that Data Mining comes in as an integral part of this research work, and as a solution for analyzing data with the aim to transform them into useful knowledge in support of d ecision-making. This paper anal yzes the use of association rules as a technique for the development of data mining, it presents how the selection of the database attributes was carried out for its application and the results achieved.","Association Rules; Data Mining; Knowledge Management","Analysis of data; Competitive advantage; Decision making process; Integral part; ITS applications; Market changes; Selection of attributes; Specific tool; Association rules; Competition; Information technology; Intelligent systems; Knowledge management; Data mining","BIPSS Scholarship Program, Institutional Grants for Postgraduate Programs, University of Santa Cruz do Sul, RSBrazil",,,,9789728939694,,,"English","Proc. IADIS Int. Conf. Intelligent Syst. Agents, ISA, IADIS Eur. Conf. Data Min., ECDM",Conference Paper,"Final",,Scopus,2-s2.0-84887445739
