Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Macedo D.C., Ishikawa E., Santos C.B., Matos S.N., Borges H.B., Francisco A.C.","56446511200;55877818700;57196594495;23485839700;16021362400;55908874100;","Proposed method for dimensionality reduction based on framework in gene expression domain",2014,"Genetics and Molecular Research","13","4",,"10582","10591",,1,"10.4238/2014.December.12.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917706576&doi=10.4238%2f2014.December.12.21&partnerID=40&md5=1390da195e6891b888f19fbf7106348b","Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil","Macedo, D.C., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil; Ishikawa, E., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil; Santos, C.B., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil; Matos, S.N., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil; Borges, H.B., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil; Francisco, A.C., Departamento de Engenharia de Produção, Universidade Tecnológica Federal do Paraná, Ponta Grossa, PR, Brazil","The excessive use of attributes may affect the search for patterns and extraction of useful knowledge, because they harm the learning performance of algorithms in both speed and success rate. The use of dimensionality reduction methods is therefore an impor­tant alternative; however, these methods do not deal with the reduction of attributes in a specific area. This article presents a method based on framework concepts of domain for reducing attributes in a domain. The input method is a set of databases related to a domain, and the main process is the identification of common and variable attributes, plus the reduction of attributes in the original database. The proposed method was applied in the gene expression domain, using databases. The method can be used to analyze the most relevant attributes in a specific domain, granting greater confidence for models created for the application of a data mining task, thus, a previously known method in data mining. Attribute selection was also applied in the three databases for the comparison of the results. Analyses of the results using the cri­terion of cross-validation revealed that the employment of the methods resulted in the improvement of success rates compared to the databases containing the full range of attributes. © FUNPEC-RP.","Attribute selection; Dimensionality reduction; Framework","acute granulocytic leukemia; acute leukemia; Article; classification algorithm; conceptual framework; controlled study; data mining; gene expression; genetic algorithm; genetic database; human; information processing; large cell lymphoma; major clinical study; methodology; protein domain; support vector machine; algorithm; data mining; DNA microarray; gene expression profiling; procedures; Algorithms; Data Mining; Databases, Genetic; Gene Expression Profiling; Humans; Oligonucleotide Array Sequence Analysis","Macedo, D.C.; Departamento de Engenharia de Produção, Universidade Tecnológica Federal do ParanáBrazil",,"Fundacao de Pesquisas Cientificas de Ribeirao Preto",16765680,,,"25511043","English","Genet. Mol. Res.",Article,"Final",Open Access,Scopus,2-s2.0-84917706576
"Carbonera J.L., Abel M.","55905050200;8390964300;","Categorical Data Clustering: A Correlation-Based Approach for Unsupervised Attribute Weighting",2014,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2014-December",, 6984482,"259","263",,6,"10.1109/ICTAI.2014.46","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946555162&doi=10.1109%2fICTAI.2014.46&partnerID=40&md5=ebcfb643b34736c68811daae0fdb5e69","Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil","Carbonera, J.L., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil; Abel, M., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil","The interest in attribute weighting, in clustering tasks, have been increasing in the last years. However, few attempts have been made to apply automated attribute weighting to categorical data clustering. Most of the existing approaches computes the weights based on the frequency of the mode category or according to the average distance of data objects from the mode of a cluster. In this paper, we adopt a different approach, investigating how to use the correlation among categorical attributes for measuring their relevancies in clustering tasks. As a result, we propose a correlation-based attribute weighting approach for categorical attributes. © 2014 IEEE.","attribute weighting; categorical data; clustering; data mining; subspace clustering","Artificial intelligence; Cluster analysis; Data mining; Attribute weighting; Average Distance; Categorical attributes; Categorical data; Categorical data clustering; clustering; Data objects; Sub-Space Clustering; Clustering algorithms",,,"IEEE Computer Society",10823409,9781479965724,PCTIF,,"English","Proc. Int. Conf. Tools Artif. Intell. ICTAI",Conference Paper,"Final",,Scopus,2-s2.0-84946555162
"Garcia L.F., Carbonera J.L., Abel M.","56548041300;55905050200;8390964300;","An Ontology-Based Automatic Approach for Lithologic Correlation",2014,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2014-December",, 6984465,"130","137",,1,"10.1109/ICTAI.2014.29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946557650&doi=10.1109%2fICTAI.2014.29&partnerID=40&md5=a8d43c5adb96087fc86578697a60d3f9","Institute of Informatics, Universidade Federal Do Rio Grande Do sul, Brazil","Garcia, L.F., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, Brazil; Carbonera, J.L., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, Brazil; Abel, M., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, Brazil","In this paper we present an automatic approach for the litho logic correlation task, which is a crucial task in the domain of Petroleum Geology. In our approach, we consider the litho logic correlation task as formally equivalent to the task of DNA sequence alignment, in the domain of Bioinformatics. This allows us to use well-known sequence alignment algorithms for dealing with this task. Moreover, our approach uses a domain ontology for representing the knowledge about the domain objects. This ensures an agreement regarding the formal vocabulary used for describing the geological objects, allowing us to deal with the data collected by different geologists in a homogeneous way. Finally, we also use clustering techniques for finding groups of geological objects that are sufficiently similar for being correlated by the sequence alignment algorithms. We discuss some results of the application of our approach to a real dataset. © 2014 IEEE.","Clustering; Data Mining; Ontology; Petroleum Geology; Sequence Alignment","Artificial intelligence; Bioinformatics; Data mining; Geology; Ontology; Automatic approaches; Clustering; Clustering techniques; DNA sequence alignments; Domain ontologies; Geological object; Logic correlation; Sequence alignments; Petroleum geology",,,"IEEE Computer Society",10823409,9781479965724,PCTIF,,"English","Proc. Int. Conf. Tools Artif. Intell. ICTAI",Conference Paper,"Final",,Scopus,2-s2.0-84946557650
"Carbonera J.L., Abel M.","55905050200;8390964300;","An Entropy-Based Subspace Clustering Algorithm for Categorical Data",2014,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2014-December",, 6984484,"272","277",,8,"10.1109/ICTAI.2014.48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946552852&doi=10.1109%2fICTAI.2014.48&partnerID=40&md5=737c681f61ab0869e54ca715ab397504","Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil","Carbonera, J.L., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil; Abel, M., Institute of Informatics, Universidade Federal Do Rio Grande Do sul, UFRGS, Porto Alegre, Brazil","The interest in attribute weighting for soft subspace clustering have been increasing in the last years. However, most of the proposed approaches are designed for dealing only with numeric data. In this paper, our focus is on soft subspace clustering for categorical data. In soft subspace clustering, the attribute weighting approach plays a crucial role. Due to this, we propose an entropy-based approach for measuring the relevance of each categorical attribute in each cluster. Besides that, we propose the EBK-modes (entropy-based k-modes), an extension of the basic k-modes that uses our approach for attribute weighting. We performed experiments on five real-world datasets, comparing the performance of our algorithms with four state-of-the-art algorithms, using three well-known evaluation metrics: accuracy, f-measure and adjusted Rand index. According to the experiments, the EBK-modes outperforms the algorithms that were considered in the evaluation, regarding the considered metrics. © 2014 IEEE.","attribute weighting; categorical data; clustering; data mining; entropy; subspace clustering","Algorithms; Artificial intelligence; Data mining; Entropy; Attribute weighting; Categorical attributes; Categorical data; clustering; Entropy based approach; Real-world datasets; State-of-the-art algorithms; Sub-Space Clustering; Clustering algorithms",,,"IEEE Computer Society",10823409,9781479965724,PCTIF,,"English","Proc. Int. Conf. Tools Artif. Intell. ICTAI",Conference Paper,"Final",,Scopus,2-s2.0-84946552852
"Rodrigues R.G., das Dores R.M., Camilo-Junior C.G., Rosa T.C.","57014307300;57015454400;57015622000;55489451000;","SentiHealth-Cancer: A sentiment analysis tool to help detecting mood of patients in online social networks",2014,"International Journal of Medical Informatics","85","1",,"80","95",,47,"10.1016/j.ijmedinf.2015.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951011189&doi=10.1016%2fj.ijmedinf.2015.09.007&partnerID=40&md5=17fb4cb9e88b536026a8bb4e6ee10fb3","Instituto de Informática, Universidade Federal de Goiás, PO Box 131CEP 74001-970, Brazil","Rodrigues, R.G., Instituto de Informática, Universidade Federal de Goiás, PO Box 131CEP 74001-970, Brazil; das Dores, R.M., Instituto de Informática, Universidade Federal de Goiás, PO Box 131CEP 74001-970, Brazil; Camilo-Junior, C.G., Instituto de Informática, Universidade Federal de Goiás, PO Box 131CEP 74001-970, Brazil; Rosa, T.C., Instituto de Informática, Universidade Federal de Goiás, PO Box 131CEP 74001-970, Brazil","Background: Cancer is a critical disease that affects millions of people and families around the world. In 2012 about 14.1 million new cases of cancer occurred globally. Because of many reasons like the severity of some cases, the side effects of some treatments and death of other patients, cancer patients tend to be affected by serious emotional disorders, like depression, for instance. Thus, monitoring the mood of the patients is an important part of their treatment. Many cancer patients are users of online social networks and many of them take part in cancer virtual communities where they exchange messages commenting about their treatment or giving support to other patients in the community. Most of these communities are of public access and thus are useful sources of information about the mood of patients. Based on that, Sentiment Analysis methods can be useful to automatically detect positive or negative mood of cancer patients by analyzing their messages in these online communities. Objective: The objective of this work is to present a Sentiment Analysis tool, named SentiHealth-Cancer (SHC-pt), that improves the detection of emotional state of patients in Brazilian online cancer communities, by inspecting their posts written in Portuguese language. The SHC-pt is a sentiment analysis tool which is tailored specifically to detect positive, negative or neutral messages of patients in online communities of cancer patients. We conducted a comparative study of the proposed method with a set of general-purpose sentiment analysis tools adapted to this context. Methods: Different collections of posts were obtained from two cancer communities in Facebook. Additionally, the posts were analyzed by sentiment analysis tools that support the Portuguese language (Semantria and SentiStrength) and by the tool SHC-pt, developed based on the method proposed in this paper called SentiHealth. Moreover, as a second alternative to analyze the texts in Portuguese, the collected texts were automatically translated into English, and submitted to sentiment analysis tools that do not support the Portuguese language (AlchemyAPI and Textalytics) and also to Semantria and SentiStrength, using the English option of these tools. Six experiments were conducted with some variations and different origins of the collected posts. The results were measured using the following metrics: precision, recall, F1-measure and accuracy. Results: The proposed tool SHC-pt reached the best averages for accuracy and F1-measure (harmonic mean between recall and precision) in the three sentiment classes addressed (positive, negative and neutral) in all experimental settings. Moreover, the worst accuracy value (58%) achieved by SHC-pt in any experiment is 11.53% better than the greatest accuracy (52%) presented by other addressed tools. Finally, the worst average F1 (48.46%) reached by SHC-pt in any experiment is 4.14% better than the greatest average F1 (46.53%) achieved by other addressed tools. Thus, even when we compare the SHC-pt results in complex scenario versus others in easier scenario the SHC-pt is better. Conclusions: This paper presents two contributions. First, it proposes the method SentiHealth to detect the mood of cancer patients that are also users of communities of patients in online social networks. Second, it presents an instantiated tool from the method, called SentiHealth-Cancer (SHC-pt), dedicated to automatically analyze posts in communities of cancer patients, based on SentiHealth. This context-tailored tool outperformed other general-purpose sentiment analysis tools at least in the cancer context. This suggests that the SentiHealth method could be instantiated as other disease-based tools during future works, for instance SentiHealth-HIV, SentiHealth-Stroke and SentiHealth-Sclerosis. © 2015.","Cancer; Facebook; Online social networks; Opinion mining; Sentiment analysis","Complex networks; Computational linguistics; Data mining; Diseases; Online systems; Patient treatment; Virtual reality; Websites; Cancer; Facebook; On-line social networks; Opinion mining; Sentiment analysis; Social networking (online); accuracy; Article; Brazil; cancer patient; cancer research; clinical assessment tool; comparative study; emotion; evaluation study; human; interpersonal communication; mood; online monitoring; outcome assessment; priority journal; sentihealth cancer; social network; affect; Internet; neoplasm; psychology; social support; Affect; Humans; Internet; Neoplasms; Social Support","Rodrigues, R.G.; Instituto de Informática, Universidade Federal de Goiás, PO Box 131, Brazil; email: ramongouveia@inf.ufg.br",,"Elsevier Ireland Ltd",13865056,,IJMIF,"26514078","English","Int. J. Med. Informatics",Article,"Final",,Scopus,2-s2.0-84951011189
"Las-Casas P.H.B., Dias V.S., Ferreira R., Meira W., Guedes D.","55357200000;57117452100;7202612372;6701307771;6603589964;","A hadoop extension to process mail folders and its application to a spam dataset",2014,"Proceedings - Symposium on Computer Architecture and High Performance Computing","22-24-October-2014",, 6972024,"108","113",,1,"10.1109/SBAC-PADW.2014.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982104895&doi=10.1109%2fSBAC-PADW.2014.25&partnerID=40&md5=ce0e10ac676c49e5aaa54843534889ee","Computer Science Department, Federal University of Minas Gerais, Brazil","Las-Casas, P.H.B., Computer Science Department, Federal University of Minas Gerais, Brazil; Dias, V.S., Computer Science Department, Federal University of Minas Gerais, Brazil; Ferreira, R., Computer Science Department, Federal University of Minas Gerais, Brazil; Meira, W., Computer Science Department, Federal University of Minas Gerais, Brazil; Guedes, D., Computer Science Department, Federal University of Minas Gerais, Brazil","Even as the web 2.0 grows, e-mail continues to be one of the most used forms of communication in the Internet, being responsible for the generation of huge amounts of data. Spam traffic, for example, accounts for terabytes of data daily. It becomes necessary to create tools that are able to process these data efficiently, in large volumes, in order to understand their characteristics. Although mail servers are able to receive and store messages as they arrive, applying complex algorithms to a large set of mailboxes, either for characterization, security reasons or for data mining goals is challenging. Big data processing environments such as Hadoop are useful for the analysis of large data sets, although originally designed to handle text files in general. In this paper we present a Hadoop extension used to process and analyze large sets of e-mail, organized in mailboxes. To evaluate it, we used gigabytes of real spam traffic data collected around the world and we showed that our approach is efficient to process large amounts of mail data. © 2014 IEEE.",,"Computer architecture; Data handling; Data mining; Electronic mail; Internet; Complex algorithms; ITS applications; Large amounts; Large datasets; Large volumes; Mail servers; Processing environments; Spam traffic; Big data",,"Cerin C.Senger H.Marzulo L.A.J.","IEEE Computer Society",15506533,9781479970148,,,"English","Proc. Symp. Comput. Archit. High Perform. Comput.",Conference Paper,"Final",,Scopus,2-s2.0-84982104895
"De Oliveira C.R., Carneiro R.L., Ferreira A.G.","54386667200;16644880100;35495479900;","Tracking the degradation of fresh orange juice and discrimination of orange varieties: An example of NMR in coordination with chemometrics analyses",2014,"Food Chemistry","164",,,"446","453",,14,"10.1016/j.foodchem.2014.05.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902184625&doi=10.1016%2fj.foodchem.2014.05.026&partnerID=40&md5=2304d628cbaf2ff03bfbde761c534184","Federal University of São Carlos, Department of Chemistry, Rodovia Washington Luís km 235, 13565-905 São Carlos, SP, Brazil","De Oliveira, C.R., Federal University of São Carlos, Department of Chemistry, Rodovia Washington Luís km 235, 13565-905 São Carlos, SP, Brazil; Carneiro, R.L., Federal University of São Carlos, Department of Chemistry, Rodovia Washington Luís km 235, 13565-905 São Carlos, SP, Brazil; Ferreira, A.G., Federal University of São Carlos, Department of Chemistry, Rodovia Washington Luís km 235, 13565-905 São Carlos, SP, Brazil","Brazil is currently the largest exporter of concentrated orange juice and, unlike the other exporter countries, the domestic consumption is mainly based on the fresh orange juice. The quality control by evaluating the major chemical constituents under the influence of the most important factors, such as temperature and storage time of the product, is very important in this context. Therefore, the objective of this study was to evaluate the influence of temperature and time on the degradation of fresh orange juice for 24 h, by using 1H NMR technique and chemometric tools for data mining. The storage conditions at 24 h led to the production of the formic, fumaric and acetic acids; and an increase of succinic and lactic acids and ethanol, which were observed at low concentration at the initial time. Furthermore, analysis by PCA has successfully distinguished the juice of different species/varieties as well as the metabolites responsible for their separation. © 2014 Elsevier Ltd. All rights reserved.","Food degradation; Fresh orange juice; Multivariate data analysis","Digital storage; Food storage; Multivariant analysis; Chemical constituents; Chemometrics analysis; Domestic consumption; Exporter countries; Low concentrations; Multivariate data analysis; Orange juice; 1H NMR fingerprint; Fruit juices; acetic acid derivative; alcohol; alpha glucose; beta glucose; citric acid; formic acid; fructose; fumaric acid; glucose; lactic acid; succinic acid; sucrose; unclassified drug; carboxylic acid; alcohol; article; Brazil; calibration; chemical composition; chemometrics; degradation; food processing; metabolism; nuclear magnetic resonance spectroscopy; orange (fruit); orange juice; principal component analysis; proton nuclear magnetic resonance; quality control; storage; temperature; Article; chemometric analysis; data mining; degradation; food storage; lime (fruit); proton nuclear magnetic resonance; time; analysis; beverage; chemistry; nuclear magnetic resonance spectroscopy; procedures; sweet orange; Beverages; Brazil; Citrus sinensis; Ethanol; Magnetic Resonance Spectroscopy; Principal Component Analysis; Quality Control; Temperature","De Oliveira, C.R.; Federal University of São Carlos, Department of Chemistry, Rodovia Washington Luís km 235, 13565-905 São Carlos, SP, Brazil; email: oliveira.cr_12@yahoo.com.br",,"Elsevier Ltd",03088146,,FOCHD,"24996356","English","Food Chem.",Article,"Final",,Scopus,2-s2.0-84902184625
"Barros R.C., Basgalupp M.P., Freitas A.A., De Carvalho A.C.P.L.F.","35247802600;35247748900;55490514300;35581825800;","Evolutionary design of decision-tree algorithms tailored to microarray gene expression data sets",2014,"IEEE Transactions on Evolutionary Computation","18","6", 6670778,"873","892",,33,"10.1109/TEVC.2013.2291813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905681624&doi=10.1109%2fTEVC.2013.2291813&partnerID=40&md5=73adcdd8e5f031b870d6a2ff93654823","Faculdade de Informática, Pontifícia Universidade Católica Do Rio Grande Do sul, Porto Alegre, 90619-900, Brazil; Department of Computer Sciences, University of São Paulo, Sao Carlos, 13566-590, Brazil; Instituto de Ciência e Tecnologia, Universidade Federal de São Paulo, Sao Jose dos Campos, 12231-280, Brazil; Computer Science Department, University of Kent, Canterbury, CT2 7NF, United Kingdom","Barros, R.C., Faculdade de Informática, Pontifícia Universidade Católica Do Rio Grande Do sul, Porto Alegre, 90619-900, Brazil; Basgalupp, M.P., Instituto de Ciência e Tecnologia, Universidade Federal de São Paulo, Sao Jose dos Campos, 12231-280, Brazil; Freitas, A.A., Computer Science Department, University of Kent, Canterbury, CT2 7NF, United Kingdom; De Carvalho, A.C.P.L.F., Department of Computer Sciences, University of São Paulo, Sao Carlos, 13566-590, Brazil","Decision-tree induction algorithms are widely used in machine learning applications in which the goal is to extract knowledge from data and present it in a graphically intuitive way. The most successful strategy for inducing decision trees is the greedy top-down recursive approach, which has been continuously improved by researchers over the past 40 years. In this paper, we propose a paradigm shift in the research of decision trees: instead of proposing a new manually designed method for inducing decision trees, we propose automatically designing decision-tree induction algorithms tailored to a specific type of classification data set (or application domain). Following recent breakthroughs in the automatic design of machine learning algorithms, we propose a hyper-heuristic evolutionary algorithm called hyper-heuristic evolutionary algorithm for designing decision-tree algorithms (HEAD-DT) that evolves design components of top-down decision-tree induction algorithms. By the end of the evolution, we expect HEAD-DT to generate a new and possibly better decision-tree algorithm for a given application domain. We perform extensive experiments in 35 real-world microarray gene expression data sets to assess the performance of HEAD-DT, and compare it with very well known decision-tree algorithms such as C4.5, CART, and REPTree. Results show that HEAD-DT is capable of generating algorithms that significantly outperform the baseline manually designed decision-tree algorithms regarding predictive accuracy and F-measure. © 1997-2012 IEEE.","automatic algorithm design; classification; decision trees; evolutionary algorithms; hyperheuristics; machine learning","Artificial intelligence; Classification (of information); Data mining; Decision trees; Design; Gene expression; Heuristic algorithms; Heuristic methods; Learning algorithms; Learning systems; Machine components; Trees (mathematics); Automatic algorithms; Decision-tree algorithm; Decision-tree induction; Evolutionary design; Hyper-heuristics; Machine learning applications; Microarray gene expression data; Predictive accuracy; Evolutionary algorithms",,,"Institute of Electrical and Electronics Engineers Inc.",1089778X,,ITEVF,,"English","IEEE Trans Evol Comput",Article,"Final",Open Access,Scopus,2-s2.0-84905681624
"Fajardo Bonin R., Chapeaurouge A., Perales J., da Silva J.G., Jr., do Nascimento H.J., D'Alincourt Carvalho Assef A.P., Moreno Senna J.P.","16480172400;6602891718;7004535468;7201733277;56336698100;36467862000;6701664497;","Identification of immunogenic proteins of the bacterium Acinetobacter baumannii using a proteomic approach",2014,"Proteomics - Clinical Applications","8","11-12",,"916","923",,24,"10.1002/prca.201300133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912567179&doi=10.1002%2fprca.201300133&partnerID=40&md5=beb01e076cf005d474b4327028e74e29","Instituto de Tecnologia em Imunobiológicos, Fiocruz, Rio de Janeiro, Brazil; Laboratório de Toxinologia, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro, Brazil; Laboratório de Pesquisa de Infecções Hospitalares, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro, Brazil","Fajardo Bonin, R., Instituto de Tecnologia em Imunobiológicos, Fiocruz, Rio de Janeiro, Brazil; Chapeaurouge, A., Laboratório de Toxinologia, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro, Brazil; Perales, J., Laboratório de Toxinologia, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro, Brazil; da Silva, J.G., Jr., Instituto de Tecnologia em Imunobiológicos, Fiocruz, Rio de Janeiro, Brazil; do Nascimento, H.J., Instituto de Tecnologia em Imunobiológicos, Fiocruz, Rio de Janeiro, Brazil; D'Alincourt Carvalho Assef, A.P., Laboratório de Pesquisa de Infecções Hospitalares, Instituto Oswaldo Cruz, Fiocruz, Rio de Janeiro, Brazil; Moreno Senna, J.P., Instituto de Tecnologia em Imunobiológicos, Fiocruz, Rio de Janeiro, Brazil","Purpose: Acinetobacter baumannii is an important opportunistic pathogen that causes pneumoniae, urinary tract infections, and/or septicemia in immunocompromised patients. This pathogen is frequently associated with nosocomial outbreaks worldwide and has become particularly problematic because of its prevalence and resistance patterns to several antibiotics. In the present study, we used an immunoproteome-based approach to identify immunogenic proteins located on the surface of A. baumannii for the development of a possible immunotherapy against this devastating bacterial infection. Experimental design: Sera from patients with A. baumannii infections (n = 50) and from a control group of healthy individuals (n = 3) were analyzed for reactivity against A. baumannii outer membrane proteins (OMPs) using Western blot analysis. To identify potential immunogenic proteins in A. baumannii, OMPs were separated by 2DE, and reactive sera from infected patients were randomly selected and divided into two different pools, each containing 15 sera. Finally, MALDI-TOF/TOF mass spectrometric analysis was employed to identify the corresponding proteins. Results: This analysis identified six immunoreactive proteins: OmpA, Omp34kDa, OprC, OprB-like, OXA-23, and ferric siderophore receptor protein. Notably, these proteins are highly abundant on the bacterial surface and involved in virulence, antibiotic resistance, and growth. Conclusions and clinical relevance: Our results support the notion that the proteins identified in the present immunoproteome study could serve as antigen candidates for the development of vaccines and passive immunotherapies against A. baumannii infections. © 2014 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.","Acinetobacter baumannii; Hospital infection; Immunoproteomics; MALDI-TOF/TOF","beta lactamase OXA 23; ferric siderophore receptor protein; glucose sensitive porin; outer membrane copper receptor; outer membrane protein; outer membrane protein 34kDa; outer membrane protein A; unclassified drug; bacterial outer membrane proteins; bacterial proteins; OMPA outer membrane proteins; Proteome; Receptors, Cell Surface; siderophore receptors; Acinetobacter baumannii; Acinetobacter infection; Article; bacterial outer membrane; clinical article; controlled study; data mining; human; immunoblotting; immunoproteomics; matrix assisted laser desorption ionization time of flight mass spectrometry; nonhuman; priority journal; proteomics; tandem mass spectrometry; two dimensional gel electrophoresis; Western blotting; Acinetobacter infections; blood; blotting, western; electrophoresis, gel, two-dimensional; Host-Pathogen Interactions; Humans; immunology; methods; microbiology; physiology; Proteomics; Reproducibility of Results; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization; Acinetobacter baumannii; Bacteria (microorganisms); Acinetobacter baumannii; Acinetobacter Infections; Bacterial Outer Membrane Proteins; Bacterial Proteins; Blotting, Western; Electrophoresis, Gel, Two-Dimensional; Host-Pathogen Interactions; Humans; Proteome; Proteomics; Receptors, Cell Surface; Reproducibility of Results; Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization","Moreno Senna, J.P.; Fundação Oswaldo Cruz, BioManguinhos, Avenida Brasil 4365, Brazil",,"Wiley-VCH Verlag",18628346,,,"24899143","English","Proteomics Clin. Appl.",Article,"Final",,Scopus,2-s2.0-84912567179
"Fonseca A., McAllister M.L., Fitzpatrick P.","24764919200;7102448141;7202727617;","Sustainability reporting among mining corporations: A constructive critique of the GRI approach",2014,"Journal of Cleaner Production","84","1",,"70","83",,91,"10.1016/j.jclepro.2012.11.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922909263&doi=10.1016%2fj.jclepro.2012.11.050&partnerID=40&md5=ebeaa6282c661accb78d44f63b0f039b","Department of Environmental Engineering, School of Mines, Federal University of Ouro Preto, Ouro Preto, 35400-000, Brazil; Environment and Resource Studies Department, University of WaterlooON  N2L 3G1, Canada; Department of Geography, University of Winnipeg, Winnipeg, MB  R3B 2E0, Canada","Fonseca, A., Department of Environmental Engineering, School of Mines, Federal University of Ouro Preto, Ouro Preto, 35400-000, Brazil; McAllister, M.L., Environment and Resource Studies Department, University of WaterlooON  N2L 3G1, Canada; Fitzpatrick, P., Department of Geography, University of Winnipeg, Winnipeg, MB  R3B 2E0, Canada","The environmental crisis is giving rise to growing public demand for socially responsible and ecologically viable mining practices. Large mining corporations are responding by advancing the idea of a sustainable mining industry. These responses are accompanied by concerted efforts to advertise a company's relative progress in this direction through the publication of sustainability reports based on the Global Reporting Initiative (GRI) Framework. Many scholars contest the effectiveness of that framework, arguing that GRIbased reports can mislead decision-makers who are concerned with sustainability, or even camouflage unsustainable practices, particularly at the site level. Few scholars, however, have scratched below the surface of criticism in order to consider how to improve the effectiveness of that framework. This article takes a closer look at this problem by answering the following question: What needs to be changed in mining corporations' GRI-based frameworks for the purpose of promoting more meaningful and reliable sustainability performance information? This article followed a qualitative methodological approach based on literature reviews and 41 semi-structured interviews. The analysis was guided by an evaluation of the extent to which the predominant GRI-based approach to sustainability reporting meets a number of principles of sustainability assessment and reporting, known as the BellagioSTAMP principles. This paper outlines a number of specific changes that should be promoted in mining corporations' frameworks if their reports are to provide meaningful and accurate information about sustainability progress. Such changes include a more systematic consideration of site-level performance, scenario building, and legacy effects. Overall, this article corroborates the view that meaningful and reliable standardized disclosures of contributions to sustainability are unlikely to emerge any time soon. The geographical dispersion of mining facilities imposes substantial difficulties to the contextualization of sustainability evaluations. © 2012 Elsevier Ltd. All rights reserved.","Corporate accountability; Global reporting initiative (GRI); Mining and metals; Mining sustainability; Sustainability assessment; Sustainability reporting","Data mining; Decision making; Corporate accountability; Global Reporting Initiative; Principles of sustainability; Semi structured interviews; Sustainability assessment; Sustainability evaluations; Sustainability performance; Sustainability reporting; Sustainable development","Fonseca, A.; Department of Environmental Engineering, School of Mines, Federal University of Ouro PretoBrazil",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Review,"Final",,Scopus,2-s2.0-84922909263
